bid,mid,returns,position
7883.88,7883.88,nan,nan
7883.88,7883.88,nan,nan
7882.13,7882.13,-0.00022199656186785212,nan
7882.13,7882.13,-0.00022199656186785212,nan
7883.31,7883.31,0.00014969452196761398,nan
7883.31,7883.31,0.00014969452196761398,nan
7885.25,7885.25,0.0002460592482494742,1.0
7886.35,7886.35,0.00013949123764026123,1.0
7886.35,7886.35,0.00013949123764026123,1.0
7885.29,7885.29,-0.00013441848807050851,1.0
7885.29,7885.29,-0.00013441848807050851,1.0
7882.37,7882.37,-0.00037037836094641955,-1.0
7882.37,7882.37,-0.00037037836094641955,-1.0
7882.9,7882.9,6.723640003625582e-05,-1.0
7882.9,7882.9,6.723640003625582e-05,-1.0
7884.86,7884.86,0.00024860855442936954,-1.0
7885.85,7885.85,0.00012554919864757913,1.0
7885.85,7885.85,0.00012554919864757913,1.0
7891.59,7891.59,0.0007276212431477217,1.0
7891.59,7891.59,0.0007276212431477217,1.0
7896.76,7896.76,0.000654913298069653,1.0
7896.76,7896.76,0.000654913298069653,1.0
7896.06,7896.06,-8.864787928419512e-05,1.0
7898.25,7898.25,0.0002773150601747241,1.0
7898.25,7898.25,0.0002773150601747241,1.0
7900.52,7900.52,0.00028736414488244645,1.0
7900.52,7900.52,0.00028736414488244645,1.0
7897.78,7897.78,-0.0003468727682691999,1.0
7897.78,7897.78,-0.0003468727682691999,1.0
7898.33,7898.33,6.963739809647415e-05,1.0
7895.77,7895.77,-0.00032417168720193186,-1.0
7895.77,7895.77,-0.00032417168720193186,-1.0
7901.08,7901.08,0.0006722859557438199,1.0
7901.08,7901.08,0.0006722859557438199,1.0
7900.56,7900.56,-6.581595330449992e-05,1.0
7900.56,7900.56,-6.581595330449992e-05,1.0
7903.2,7903.2,0.0003340977115010804,1.0
7892.23,7892.23,nan,nan
7892.23,7892.23,nan,nan
7899.31,7899.31,0.0008966827142107746,nan
7905.78,7905.78,0.0008187236341465294,nan
7905.78,7905.78,0.0008187236341465294,nan
7912.2,7912.2,0.0008117345391153772,1.0
7912.2,7912.2,0.0008117345391153772,1.0
7911.07,7911.07,-0.00014282762057671482,1.0
7911.07,7911.07,-0.00014282762057671482,1.0
7909.58,7909.58,-0.00018836141427885518,1.0
7909.58,7909.58,-0.00018836141427885518,1.0
7911.73,7911.73,0.00027178533424016856,-1.0
7908.27,7908.27,-0.00043742099306805503,-1.0
7908.27,7908.27,-0.00043742099306805503,-1.0
7909.25,7909.25,0.00012391323055106253,-1.0
7909.25,7909.25,0.00012391323055106253,-1.0
7900.65,7900.65,nan,nan
7900.65,7900.65,nan,nan
7904.84,7904.84,0.0005301955330905627,nan
7904.84,7904.84,0.0005301955330905627,nan
7912.49,7912.49,0.0009672935440407794,nan
7912.49,7912.49,0.0009672935440407794,nan
7911.03,7911.03,-0.00018453542626962438,1.0
7911.03,7911.03,-0.00018453542626962438,1.0
7908.78,7908.78,-0.00028445348144778647,1.0
7909.13,7909.13,4.425363402081715e-05,-1.0
7909.13,7909.13,4.425363402081715e-05,-1.0
7908.66,7908.66,-5.9426759381527376e-05,-1.0
7908.66,7908.66,-5.9426759381527376e-05,-1.0
7912.95,7912.95,0.0005422962777032137,1.0
7912.95,7912.95,0.0005422962777032137,1.0
7909.75,7909.75,-0.00040448217353898896,1.0
7908.11,7908.11,-0.00020736054129658922,-1.0
7908.11,7908.11,-0.00020736054129658922,-1.0
7910.46,7910.46,0.00029711914759527437,-1.0
7910.46,7910.46,0.00029711914759527437,-1.0
7916.81,7916.81,0.0008024125879841485,1.0
7918.77,7918.77,0.00024754382346689404,1.0
7918.77,7918.77,0.00024754382346689404,1.0
